member_id,committee_id,party_id,bill_id,bill_title,committee_history.committee_1,committee_history.committee_2,committee_history.committee_1_start_date,committee_history.committee_1_end_date,committee_history.committee_2_start_date,committee_history.committee_2_end_date,party_history.party_1,party_history.party_1_start_date,party_history.party_1_end_date,party_history.party_2,party_history.party_2_start_date,party_history.party_2_end_date,name,gender,district,member_start_date,member_end_date,birthyear
14M56632,,/미래통합당,0,,,,,,,,/미래통합당,,,/미래통합당,,,강기윤,남,경남 창원시성산구/경남 창원시성산구,,,
L2I9861C,국방위원회,미래통합당/국민의힘,0,,국방위원회,국방위원회,,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,강대식,남,대구 동구을/대구 동구군위군을,,,
8P37634C,"기후위기 특별위원회, 기후에너지환경노동위원회",더불어민주당/더불어민주당,0,,"기후위기 특별위원회, 기후에너지환경노동위원회","기후위기 특별위원회, 기후에너지환경노동위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,강득구,남,경기 안양시만안구/경기 안양시만안구,,,
GX22581L,정무위원회,미래통합당/국민의힘,0,,정무위원회,정무위원회,,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,강민국,남,경남 진주시을/경남 진주시을,,,1971-03-03T00:00:00.000Z
P2N50879,,열린민주당,0,,,,,,,,열린민주당,,,열린민주당,,,강민정,여,비례대표,,,
60490713,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,강병원,남,서울 은평구을/서울 은평구을,,,1971-07-09T00:00:00.000Z
MNZ4401T,"연금개혁 특별위원회, 외교통일위원회",더불어민주당/더불어민주당,0,,"연금개혁 특별위원회, 외교통일위원회","연금개혁 특별위원회, 외교통일위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,강선우,여,서울 강서구갑/서울 강서구갑,,,1978-06-02T00:00:00.000Z
6FS10566,,진보당,0,,,,,,,,진보당,,,진보당,,,강성희,남,전북 전주시을,,,1972-09-07T00:00:00.000Z
WMG57662,,정의당,0,,,,,,,,정의당,,,정의당,,,강은미,여,비례대표,,,1970-09-06T00:00:00.000Z
5KV96424,정무위원회,더불어민주당/더불어민주당,0,,정무위원회,정무위원회,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,강준현,남,세종특별자치시을/세종특별자치시을,,,
TRE2429O,정무위원회,더불어민주당/더불어민주당/더불어민주당,0,,,정무위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,강훈식,남,충남 아산시을/충남 아산시을/충남 아산시을,,,1973-10-24T00:00:00.000Z
WCD5518S,"교육위원회, 예산결산특별위원회",더불어민주당/더불어민주당,0,,"교육위원회, 예산결산특별위원회","교육위원회, 예산결산특별위원회",,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,고민정,여,서울 광진구을/서울 광진구을,,,1979-08-23T00:00:00.000Z
4XG1439M,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,고영인,남,경기 안산시단원구갑,,,
6V37131U,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,고용진,남,서울 노원구갑/서울 노원구갑,,,
MHK9919B,,/미래통합당,0,,,,,,,,/미래통합당,,,/미래통합당,,,곽상도,남,대구 중구남구/대구 중구남구,,,
7469929V,산업통상자원중소벤처기업위원회,미래통합당/국민의힘,0,,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,구자근,남,경북 구미시갑/경북 구미시갑,,,
E9R4507P,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,권명호,남,울산 동구,,,
GDG1847Z,보건복지위원회,///무소속/국민의힘,0,,보건복지위원회,보건복지위원회,,,,,///무소속/국민의힘,,,///무소속/국민의힘,,,권성동,남,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,,,
LG63087O,"정보위원회, 기획재정위원회",///미래통합당/국민의힘,0,,"정보위원회, 기획재정위원회","정보위원회, 기획재정위원회",,,,,///미래통합당/국민의힘,,,///미래통합당/국민의힘,,,권영세,남,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,,,
YKW37422,,/국민의당/국민의당,0,,,,,,,,/국민의당/국민의당,,,/국민의당/국민의당,,,권은희,여,광주 광산구을/광주 광산구을/비례대표,,,1974-02-15T00:00:00.000Z
3TO11703,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,권인숙,여,비례대표,,,
C7E79345,행정안전위원회,더불어민주당/더불어민주당/더불어민주당,0,,행정안전위원회,행정안전위원회,,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,권칠승,남,경기 화성시병/경기 화성시병/경기 화성시병,,,
B7R2742J,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,기동민,남,서울 성북구을/서울 성북구을,,,
1BX7234U,,더불어시민당,0,,,,,,,,더불어시민당,,,더불어시민당,,,김경만,남,비례대표,,,
ZKU88693,,/더불어민주당/더불어민주당,0,,,,,,,,/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당,,,김경협,남,경기 부천시원미구갑/경기 부천시원미구갑/경기 부천시갑,,,
X1K3667J,문화체육관광위원회,/더불어민주당/더불어민주당,0,,문화체육관광위원회,문화체육관광위원회,,,,,/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당,,,김교흥,남,인천광역시 서구강화군갑/인천 서구갑/인천 서구갑,,,
C835799S,,국민의힘,0,,,,,,,,국민의힘,,,국민의힘,,,김근태,남,비례대표,,,1990-11-25T00:00:00.000Z
X7I4680R,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",///미래통합당/국민의힘,0,,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회","외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",,,,,///미래통합당/국민의힘,,,///미래통합당/국민의힘,,,김기현,남,울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,,,
QHL3248U,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,김남국,남,경기 안산시단원구을,,,1982-10-22T00:00:00.000Z
LH97552Q,국토교통위원회,//미래통합당/국민의힘,0,,국토교통위원회,국토교통위원회,,,,,//미래통합당/국민의힘,,,//미래통합당/국민의힘,,,김도읍,남,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,,,
CI15627C,,더불어민주당/더불어민주당,0,,,,,,,,더불어민주당/더불어민주당,,,더불어민주당/더불어민주당,,,김두관,남,경기 김포시갑/경남 양산시을,,,
3BC6890E,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",미래통합당/국민의힘,0,,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회","보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",,,,,미래통합당/국민의힘,,,미래통합당/국민의힘,,,김미애,여,부산 해운대구을/부산 해운대구을,,,
NTT8182Q,,/더불어민주당/더불어민주당,0,,,,,,,,/더불어민주당/더불어민주당,,,/더불어민주당/더불어민주당,,,김민기,남,경기 용인시을/경기 용인시을/경기 용인시을,,,
MLH1404S,국방위원회,//더불어민주당/더불어민주당,0,,국방위원회,국방위원회,,,,,//더불어민주당/더불어민주당,,,//더불어민주당/더불어민주당,,,김민석,남,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,,,
6399076T,,더불어민주당,0,,,,,,,,더불어민주당,,,더불어민주당,,,김민철,남,경기 의정부시을,,,
8Q88373R,"정보위원회, 국회운영위원회, 국방위원회",더불어민주당/더불어민주당/더불어민주당,0,,"정보위원회, 국회운영위원회, 국방위원회","정보위원회, 국회운영위원회, 국방위원회",,,,,더불어민주당/더불어민주당/더불어민주당,,,더불어민주당/더불어민주당/더불어민주당,,,김병기,남,서울 동작구갑/서울 동작구갑/서울 동작구갑,,,
KB04377U,,미래통합당,0,,,,,,,,미래통합당,,,미래통합당,,,김병욱,남,경북 포항시남구울릉군,,,1977-04-30T00:00:00.000Z
