member_id,party_id,name,gender,district,birthdate
14M56632,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-06-04
L2I9861C,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-11-02
8P37634C,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1963-05-27
GX22581L,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1971-03-03
P2N50879,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1961-04-26
60490713,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1971-07-09
MNZ4401T,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1978-06-02
6FS10566,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1972-09-07
WMG57662,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1970-09-06
5KV96424,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-08-19
TRE2429O,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1973-10-24
WCD5518S,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1979-08-23
4XG1439M,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1963-07-07
6V37131U,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-08-06
MHK9919B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-12-23
7469929V,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1967-10-09
E9R4507P,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1961-01-10
GDG1847Z,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-04-29
LG63087O,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-02-24
YKW37422,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1974-02-15
3TO11703,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-08-28
C7E79345,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1965-11-18
B7R2742J,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1966-02-23
1BX7234U,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1962-09-23
ZKU88693,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1962-11-07
X1K3667J,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-08-30
C835799S,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1990-11-25
X7I4680R,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-02-21
QHL3248U,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1982-10-22
LH97552Q,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-07-06
CI15627C,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-04-10
3BC6890E,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1969-10-06
NTT8182Q,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1966-04-28
MLH1404S,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-05-29
6399076T,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1967-11-18
8Q88373R,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1961-07-10
KB04377U,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1977-04-30
GFF1986K,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1965-04-15
GF286398,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1962-02-07
1Y73132H,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1963-01-25
UGH6481E,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1954-05-18
ZYP7962W,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1954-08-06
JNL7001A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-09-18
9D939735,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1973-10-15
2UD1340H,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-04-10
XSP20229,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1965-10-15
L7T64271,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1961-04-29
P2N4585G,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1965-10-06
5K93695T,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1965-07-05
ATB59635,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1969-07-08
B7D7534L,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1967-03-08
LBC8144B,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-05-16
IOW1101J,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1959-07-18
0W194007,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1955-07-27
5765663F,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1967-09-10
7BM2933Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1967-09-13
CNZ51556,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1980-12-13
OFE45081,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1976-06-05
SVH3899R,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1958-01-05
LQW3652K,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1970-05-05
4L695580,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1968-11-11
JZY9937U,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1966-05-23
L5P27909,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1971-01-06
MSO2590I,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1991-06-10
FIC9046Z,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1963-05-22
E1J8836Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1966-02-15
9LD2641Q,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1960-06-18
M2Q9024I,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1964-05-12
D6U6678O,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1961-10-15
LNR7932L,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1953-02-16
